2025-12-25 16:50:03,638 | INFO | req=d48e039636af42ffa49400916993b32a | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 1}
2025-12-25 16:53:22,276 | INFO | req=test_session_2 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.14}
2025-12-25 16:53:22,311 | INFO | req=test_session_10 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,312 | INFO | req=test_session_10 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,312 | INFO | req=test_session_10 | step=签名验证 | status=成功 | extra={"duration_ms": 0.13}
2025-12-25 16:53:22,312 | INFO | req=test_session_10 | step=输入清洗 | status=成功 | extra={"original_length": 41, "cleaned_length": 17, "duration_ms": 0.01}
2025-12-25 16:53:22,312 | INFO | req=test_session_10 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,312 | INFO | req=test_session_10 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,312 | INFO | req=test_session_10 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,312 | INFO | req=test_session_10 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,314 | INFO | req=test_session_6 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,315 | INFO | req=test_session_6 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,315 | INFO | req=test_session_6 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:53:22,315 | INFO | req=test_session_6 | step=输入清洗 | status=成功 | extra={"original_length": 40, "cleaned_length": 16, "duration_ms": 0.01}
2025-12-25 16:53:22,315 | INFO | req=test_session_6 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,315 | INFO | req=test_session_6 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,315 | INFO | req=test_session_6 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,315 | INFO | req=test_session_6 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.04}
2025-12-25 16:53:22,338 | INFO | req=test_session_8 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,338 | INFO | req=test_session_8 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,338 | INFO | req=test_session_8 | step=签名验证 | status=成功 | extra={"duration_ms": 0.14}
2025-12-25 16:53:22,338 | INFO | req=test_session_8 | step=输入清洗 | status=成功 | extra={"original_length": 38, "cleaned_length": 14, "duration_ms": 0.02}
2025-12-25 16:53:22,339 | INFO | req=test_session_8 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:53:22,339 | INFO | req=test_session_8 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.03}
2025-12-25 16:53:22,339 | INFO | req=test_session_8 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:53:22,339 | INFO | req=test_session_8 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.11}
2025-12-25 16:53:22,342 | INFO | req=test_session_14 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,342 | INFO | req=test_session_14 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,342 | INFO | req=test_session_14 | step=签名验证 | status=成功 | extra={"duration_ms": 0.07}
2025-12-25 16:53:22,342 | INFO | req=test_session_14 | step=输入清洗 | status=成功 | extra={"original_length": 36, "cleaned_length": 12, "duration_ms": 0.01}
2025-12-25 16:53:22,342 | INFO | req=test_session_14 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,342 | INFO | req=test_session_14 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,342 | INFO | req=test_session_14 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,342 | INFO | req=test_session_14 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.04}
2025-12-25 16:53:22,344 | INFO | req=test_session_5 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,344 | INFO | req=test_session_5 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,345 | INFO | req=test_session_5 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:53:22,345 | INFO | req=test_session_5 | step=输入清洗 | status=成功 | extra={"original_length": 36, "cleaned_length": 12, "duration_ms": 0.01}
2025-12-25 16:53:22,345 | INFO | req=test_session_5 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,345 | INFO | req=test_session_5 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,345 | INFO | req=test_session_5 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,345 | INFO | req=test_session_5 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,346 | INFO | req=test_session_3 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,346 | INFO | req=test_session_3 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,346 | INFO | req=test_session_3 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:53:22,346 | INFO | req=test_session_3 | step=输入清洗 | status=成功 | extra={"original_length": 40, "cleaned_length": 16, "duration_ms": 0.01}
2025-12-25 16:53:22,346 | INFO | req=test_session_3 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,346 | INFO | req=test_session_3 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,346 | INFO | req=test_session_3 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,346 | INFO | req=test_session_3 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,350 | INFO | req=test_session_11 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,350 | INFO | req=test_session_11 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,350 | INFO | req=test_session_11 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:53:22,350 | INFO | req=test_session_11 | step=输入清洗 | status=成功 | extra={"original_length": 40, "cleaned_length": 16, "duration_ms": 0.01}
2025-12-25 16:53:22,350 | INFO | req=test_session_11 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,350 | INFO | req=test_session_11 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,350 | INFO | req=test_session_11 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,350 | INFO | req=test_session_11 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,362 | INFO | req=test_session_18 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,362 | INFO | req=test_session_18 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,362 | INFO | req=test_session_18 | step=签名验证 | status=成功 | extra={"duration_ms": 0.07}
2025-12-25 16:53:22,362 | INFO | req=test_session_18 | step=输入清洗 | status=成功 | extra={"original_length": 42, "cleaned_length": 18, "duration_ms": 0.01}
2025-12-25 16:53:22,362 | INFO | req=test_session_18 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,363 | INFO | req=test_session_18 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,363 | INFO | req=test_session_18 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:53:22,363 | INFO | req=test_session_18 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.06}
2025-12-25 16:53:22,365 | INFO | req=test_session_13 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,365 | INFO | req=test_session_13 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,365 | INFO | req=test_session_13 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:53:22,365 | INFO | req=test_session_13 | step=输入清洗 | status=成功 | extra={"original_length": 35, "cleaned_length": 11, "duration_ms": 0.01}
2025-12-25 16:53:22,365 | INFO | req=test_session_13 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,365 | INFO | req=test_session_13 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,365 | INFO | req=test_session_13 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,365 | INFO | req=test_session_13 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,367 | INFO | req=test_session_0 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,368 | INFO | req=test_session_0 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,368 | INFO | req=test_session_0 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:53:22,368 | INFO | req=test_session_0 | step=输入清洗 | status=成功 | extra={"original_length": 39, "cleaned_length": 15, "duration_ms": 0.01}
2025-12-25 16:53:22,368 | INFO | req=test_session_0 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,368 | INFO | req=test_session_0 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,368 | INFO | req=test_session_0 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,368 | INFO | req=test_session_0 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,375 | INFO | req=test_session_1 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,375 | INFO | req=test_session_1 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,375 | INFO | req=test_session_1 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:53:22,375 | INFO | req=test_session_1 | step=输入清洗 | status=成功 | extra={"original_length": 38, "cleaned_length": 14, "duration_ms": 0.01}
2025-12-25 16:53:22,375 | INFO | req=test_session_1 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,375 | INFO | req=test_session_1 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,375 | INFO | req=test_session_1 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,375 | INFO | req=test_session_1 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,382 | INFO | req=test_session_4 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,382 | INFO | req=test_session_4 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,382 | INFO | req=test_session_4 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:53:22,383 | INFO | req=test_session_4 | step=输入清洗 | status=成功 | extra={"original_length": 38, "cleaned_length": 14, "duration_ms": 0.01}
2025-12-25 16:53:22,383 | INFO | req=test_session_4 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,383 | INFO | req=test_session_4 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,383 | INFO | req=test_session_4 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,383 | INFO | req=test_session_4 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.06}
2025-12-25 16:53:22,385 | INFO | req=test_session_17 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,385 | INFO | req=test_session_17 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,385 | INFO | req=test_session_17 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:53:22,386 | INFO | req=test_session_17 | step=输入清洗 | status=成功 | extra={"original_length": 42, "cleaned_length": 18, "duration_ms": 0.01}
2025-12-25 16:53:22,386 | INFO | req=test_session_17 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,386 | INFO | req=test_session_17 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,386 | INFO | req=test_session_17 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,386 | INFO | req=test_session_17 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,392 | INFO | req=test_session_16 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,393 | INFO | req=test_session_16 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,393 | INFO | req=test_session_16 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:53:22,393 | INFO | req=test_session_16 | step=输入清洗 | status=成功 | extra={"original_length": 45, "cleaned_length": 21, "duration_ms": 0.01}
2025-12-25 16:53:22,393 | INFO | req=test_session_16 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,393 | INFO | req=test_session_16 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,393 | INFO | req=test_session_16 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,393 | INFO | req=test_session_16 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,398 | INFO | req=test_session_9 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,398 | INFO | req=test_session_9 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,399 | INFO | req=test_session_9 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:53:22,399 | INFO | req=test_session_9 | step=输入清洗 | status=成功 | extra={"original_length": 37, "cleaned_length": 13, "duration_ms": 0.01}
2025-12-25 16:53:22,399 | INFO | req=test_session_9 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,399 | INFO | req=test_session_9 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,399 | INFO | req=test_session_9 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,399 | INFO | req=test_session_9 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,404 | INFO | req=test_session_12 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,405 | INFO | req=test_session_12 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,405 | INFO | req=test_session_12 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:53:22,405 | INFO | req=test_session_12 | step=输入清洗 | status=成功 | extra={"original_length": 49, "cleaned_length": 25, "duration_ms": 0.01}
2025-12-25 16:53:22,405 | INFO | req=test_session_12 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,405 | INFO | req=test_session_12 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,405 | INFO | req=test_session_12 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,405 | INFO | req=test_session_12 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,419 | INFO | req=test_session_15 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,419 | INFO | req=test_session_15 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,419 | INFO | req=test_session_15 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:53:22,419 | INFO | req=test_session_15 | step=输入清洗 | status=成功 | extra={"original_length": 38, "cleaned_length": 14, "duration_ms": 0.01}
2025-12-25 16:53:22,419 | INFO | req=test_session_15 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,420 | INFO | req=test_session_15 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,420 | INFO | req=test_session_15 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,420 | INFO | req=test_session_15 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
2025-12-25 16:53:22,426 | INFO | req=test_session_19 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:53:22,426 | INFO | req=test_session_19 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:53:22,426 | INFO | req=test_session_19 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:53:22,426 | INFO | req=test_session_19 | step=输入清洗 | status=成功 | extra={"original_length": 42, "cleaned_length": 18, "duration_ms": 0.01}
2025-12-25 16:53:22,426 | INFO | req=test_session_19 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,426 | INFO | req=test_session_19 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,427 | INFO | req=test_session_19 | step=金融投资检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:53:22,427 | INFO | req=test_session_19 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.05}
