2025-12-25 16:51:46,733 | INFO | req=test_session_3 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,742 | INFO | req=test_session_1 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
2025-12-25 16:51:46,770 | INFO | req=test_session_12 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,770 | INFO | req=test_session_12 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,770 | INFO | req=test_session_12 | step=签名验证 | status=成功 | extra={"duration_ms": 0.09}
2025-12-25 16:51:46,770 | INFO | req=test_session_12 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.11}
2025-12-25 16:51:46,770 | INFO | req=test_session_12 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,771 | INFO | req=test_session_12 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:51:46,771 | INFO | req=test_session_12 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:51:46,771 | INFO | req=test_session_12 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.04}
2025-12-25 16:51:46,781 | INFO | req=test_session_5 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,781 | INFO | req=test_session_5 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,782 | INFO | req=test_session_5 | step=签名验证 | status=成功 | extra={"duration_ms": 0.08}
2025-12-25 16:51:46,782 | INFO | req=test_session_5 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.1}
2025-12-25 16:51:46,782 | INFO | req=test_session_5 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,782 | INFO | req=test_session_5 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,782 | INFO | req=test_session_5 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:51:46,782 | INFO | req=test_session_5 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
2025-12-25 16:51:46,785 | INFO | req=test_session_2 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,785 | INFO | req=test_session_2 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,785 | INFO | req=test_session_2 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:51:46,785 | INFO | req=test_session_2 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,785 | INFO | req=test_session_2 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,785 | INFO | req=test_session_2 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,785 | INFO | req=test_session_2 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,785 | INFO | req=test_session_2 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.02}
2025-12-25 16:51:46,786 | INFO | req=test_session_9 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,787 | INFO | req=test_session_9 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,787 | INFO | req=test_session_9 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:51:46,787 | INFO | req=test_session_9 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.07}
2025-12-25 16:51:46,787 | INFO | req=test_session_9 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,787 | INFO | req=test_session_9 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,787 | INFO | req=test_session_9 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,787 | INFO | req=test_session_9 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.02}
2025-12-25 16:51:46,789 | INFO | req=test_session_7 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,789 | INFO | req=test_session_7 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,790 | INFO | req=test_session_7 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:51:46,790 | INFO | req=test_session_7 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,790 | INFO | req=test_session_7 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,790 | INFO | req=test_session_7 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,790 | INFO | req=test_session_7 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,790 | INFO | req=test_session_7 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
2025-12-25 16:51:46,793 | INFO | req=test_session_15 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,793 | INFO | req=test_session_15 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,793 | INFO | req=test_session_15 | step=签名验证 | status=成功 | extra={"duration_ms": 0.07}
2025-12-25 16:51:46,793 | INFO | req=test_session_15 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.09}
2025-12-25 16:51:46,793 | INFO | req=test_session_15 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,793 | INFO | req=test_session_15 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,793 | INFO | req=test_session_15 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,793 | INFO | req=test_session_15 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.02}
2025-12-25 16:51:46,797 | INFO | req=test_session_4 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,797 | INFO | req=test_session_4 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,797 | INFO | req=test_session_4 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:51:46,797 | INFO | req=test_session_4 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,797 | INFO | req=test_session_4 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,798 | INFO | req=test_session_4 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,798 | INFO | req=test_session_4 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,798 | INFO | req=test_session_4 | step=输出给客户端 | status=拒绝 | extra={"reason": "重大时间点限制", "category": "重大事件"}
2025-12-25 16:51:46,798 | INFO | req=test_session_4 | step=重大时间点检测 | status=命中规则 | extra={"hit": true, "category": "重大事件", "duration_ms": 0.08}
2025-12-25 16:51:46,803 | INFO | req=test_session_6 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,803 | INFO | req=test_session_6 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,803 | INFO | req=test_session_6 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:51:46,804 | INFO | req=test_session_6 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,804 | INFO | req=test_session_6 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,804 | INFO | req=test_session_6 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,804 | INFO | req=test_session_6 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,804 | INFO | req=test_session_6 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.02}
2025-12-25 16:51:46,805 | INFO | req=test_session_14 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,805 | INFO | req=test_session_14 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,805 | INFO | req=test_session_14 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:51:46,805 | INFO | req=test_session_14 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.07}
2025-12-25 16:51:46,805 | INFO | req=test_session_14 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,805 | INFO | req=test_session_14 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,805 | INFO | req=test_session_14 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,805 | INFO | req=test_session_14 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.02}
2025-12-25 16:51:46,809 | INFO | req=test_session_17 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,809 | INFO | req=test_session_17 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,809 | INFO | req=test_session_17 | step=签名验证 | status=成功 | extra={"duration_ms": 0.07}
2025-12-25 16:51:46,809 | INFO | req=test_session_17 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.09}
2025-12-25 16:51:46,809 | INFO | req=test_session_17 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,809 | INFO | req=test_session_17 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,810 | INFO | req=test_session_17 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,810 | INFO | req=test_session_17 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
2025-12-25 16:51:46,811 | INFO | req=test_session_11 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,811 | INFO | req=test_session_11 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,811 | INFO | req=test_session_11 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:51:46,811 | INFO | req=test_session_11 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.07}
2025-12-25 16:51:46,811 | INFO | req=test_session_11 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,811 | INFO | req=test_session_11 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,811 | INFO | req=test_session_11 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,811 | INFO | req=test_session_11 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.02}
2025-12-25 16:51:46,812 | INFO | req=test_session_13 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,812 | INFO | req=test_session_13 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,812 | INFO | req=test_session_13 | step=签名验证 | status=成功 | extra={"duration_ms": 0.04}
2025-12-25 16:51:46,812 | INFO | req=test_session_13 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.07}
2025-12-25 16:51:46,812 | INFO | req=test_session_13 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,812 | INFO | req=test_session_13 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,812 | INFO | req=test_session_13 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,812 | INFO | req=test_session_13 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.02}
2025-12-25 16:51:46,813 | INFO | req=test_session_10 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,813 | INFO | req=test_session_10 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,814 | INFO | req=test_session_10 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:51:46,814 | INFO | req=test_session_10 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,814 | INFO | req=test_session_10 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,814 | INFO | req=test_session_10 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,814 | INFO | req=test_session_10 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,814 | INFO | req=test_session_10 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
2025-12-25 16:51:46,817 | INFO | req=test_session_16 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,817 | INFO | req=test_session_16 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,818 | INFO | req=test_session_16 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:51:46,818 | INFO | req=test_session_16 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,818 | INFO | req=test_session_16 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,818 | INFO | req=test_session_16 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,818 | INFO | req=test_session_16 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,818 | INFO | req=test_session_16 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
2025-12-25 16:51:46,822 | INFO | req=test_session_8 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,822 | INFO | req=test_session_8 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,822 | INFO | req=test_session_8 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:51:46,822 | INFO | req=test_session_8 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,822 | INFO | req=test_session_8 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,822 | INFO | req=test_session_8 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,822 | INFO | req=test_session_8 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,822 | INFO | req=test_session_8 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.02}
2025-12-25 16:51:46,844 | INFO | req=test_session_0 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,844 | INFO | req=test_session_0 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,844 | INFO | req=test_session_0 | step=签名验证 | status=成功 | extra={"duration_ms": 0.05}
2025-12-25 16:51:46,845 | INFO | req=test_session_0 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,845 | INFO | req=test_session_0 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,845 | INFO | req=test_session_0 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,845 | INFO | req=test_session_0 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,845 | INFO | req=test_session_0 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
2025-12-25 16:51:46,848 | INFO | req=test_session_18 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,848 | INFO | req=test_session_18 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,848 | INFO | req=test_session_18 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:51:46,848 | INFO | req=test_session_18 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,848 | INFO | req=test_session_18 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,848 | INFO | req=test_session_18 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,848 | INFO | req=test_session_18 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,848 | INFO | req=test_session_18 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
2025-12-25 16:51:46,872 | INFO | req=test_session_19 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:46,872 | INFO | req=test_session_19 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:46,872 | INFO | req=test_session_19 | step=签名验证 | status=成功 | extra={"duration_ms": 0.06}
2025-12-25 16:51:46,872 | INFO | req=test_session_19 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.08}
2025-12-25 16:51:46,872 | INFO | req=test_session_19 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,872 | INFO | req=test_session_19 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,872 | INFO | req=test_session_19 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.01}
2025-12-25 16:51:46,872 | INFO | req=test_session_19 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.02}
2025-12-25 16:51:47,075 | INFO | req=test_session_20 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:47,076 | INFO | req=test_session_20 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:47,076 | INFO | req=test_session_20 | step=签名验证 | status=成功 | extra={"duration_ms": 0.16}
2025-12-25 16:51:47,076 | INFO | req=test_session_20 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.21}
2025-12-25 16:51:47,077 | INFO | req=test_session_20 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:51:47,077 | INFO | req=test_session_20 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:51:47,077 | INFO | req=test_session_20 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.03}
2025-12-25 16:51:47,077 | INFO | req=test_session_20 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.06}
2025-12-25 16:51:48,329 | INFO | req=test_session_3 | step=时间范围识别 | status=成功 | extra={"duration_ms": 1594.02}
2025-12-25 16:51:48,515 | INFO | req=test_session_12 | step=时间范围识别 | status=成功 | extra={"duration_ms": 1744.59}
2025-12-25 16:51:48,611 | INFO | req=test_session_18 | step=时间范围识别 | status=成功 | extra={"duration_ms": 1762.79}
2025-12-25 16:51:48,614 | INFO | req=test_session_13 | step=时间范围识别 | status=成功 | extra={"duration_ms": 1801.04}
2025-12-25 16:51:48,624 | INFO | req=test_session_0 | step=时间范围识别 | status=成功 | extra={"duration_ms": 1779.23}
2025-12-25 16:51:48,668 | INFO | req=test_session_2 | step=时间范围识别 | status=成功 | extra={"duration_ms": 1882.54}
2025-12-25 16:51:48,794 | INFO | req=test_session_16 | step=时间范围识别 | status=成功 | extra={"duration_ms": 1976.31}
2025-12-25 16:51:48,817 | INFO | req=test_session_9 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2030.24}
2025-12-25 16:51:48,819 | INFO | req=test_session_11 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2007.52}
2025-12-25 16:51:48,847 | INFO | req=test_session_14 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2041.94}
2025-12-25 16:51:48,897 | INFO | req=test_session_8 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2074.68}
2025-12-25 16:51:48,903 | INFO | req=test_session_7 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2113.41}
2025-12-25 16:51:48,946 | INFO | req=test_session_19 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2073.12}
2025-12-25 16:51:48,962 | INFO | req=test_session_17 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2152.39}
2025-12-25 16:51:49,129 | INFO | req=test_session_5 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2346.42}
2025-12-25 16:51:49,167 | INFO | req=test_session_10 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2352.94}
2025-12-25 16:51:49,317 | INFO | req=test_session_1 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2574.47}
2025-12-25 16:51:49,462 | INFO | req=test_session_20 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2384.44}
2025-12-25 16:51:49,507 | INFO | req=test_session_6 | step=时间范围识别 | status=成功 | extra={"duration_ms": 2703.04}
2025-12-25 16:51:50,111 | INFO | req=test_session_15 | step=时间范围识别 | status=成功 | extra={"duration_ms": 3317.03}
2025-12-25 16:51:50,210 | INFO | req=test_session_3 | step=意图识别 | status=成功 | extra={"duration_ms": 1881.39}
2025-12-25 16:51:50,211 | INFO | req=test_session_3 | step=输出给客户端 | status=建议 | extra={"reason": "建议使用紫微斗数"}
2025-12-25 16:51:50,211 | INFO | req=test_session_3 | step=时间范围识别和意图识别 | status=建议紫薇长周期 | extra={"query_type": "general_long_term", "time_duration_type": "long", "duration_ms": 0.26}
2025-12-25 16:51:50,358 | INFO | req=test_session_0 | step=意图识别 | status=成功 | extra={"duration_ms": 1734.13}
2025-12-25 16:51:50,359 | INFO | req=test_session_0 | step=输出给客户端 | status=建议 | extra={"reason": "建议使用紫微斗数"}
2025-12-25 16:51:50,359 | INFO | req=test_session_0 | step=时间范围识别和意图识别 | status=建议紫薇长周期 | extra={"query_type": "general_long_term", "time_duration_type": "long", "duration_ms": 0.16}
2025-12-25 16:51:50,477 | INFO | req=test_session_21 | step=请求入站 | status=开始 | extra={"appid": "yingshi_appid", "skip_intent_check": 0}
2025-12-25 16:51:50,477 | INFO | req=test_session_21 | step=会话管理初始化 | status=成功 | extra={"manager": "AsyncClusterRedisChatMessageHistory"}
2025-12-25 16:51:50,477 | INFO | req=test_session_21 | step=签名验证 | status=成功 | extra={"duration_ms": 0.19}
2025-12-25 16:51:50,478 | INFO | req=test_session_21 | step=用户信息提取 | status=成功 | extra={"has_user_info": true, "duration_ms": 0.2}
2025-12-25 16:51:50,478 | INFO | req=test_session_21 | step=政治敏感检测 | status=成功 | extra={"hit": false, "duration_ms": 0.02}
2025-12-25 16:51:50,478 | INFO | req=test_session_21 | step=乱码检测 | status=成功 | extra={"hit": false, "duration_ms": 0.03}
2025-12-25 16:51:50,478 | INFO | req=test_session_21 | step=金融投资拦截 | status=成功 | extra={"hit": false, "duration_ms": 0.03}
2025-12-25 16:51:50,478 | INFO | req=test_session_21 | step=重大时间点检测 | status=成功 | extra={"hit": false, "category": "", "duration_ms": 0.03}
