2025-12-24 19:48:22,102 | INFO | 成功获取请求 | 成功 | request_id=da886b26 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-24 20:21:47,218 | INFO | 成功获取请求 | 成功 | request_id=72b29c40 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-24 20:21:47,220 | INFO | 成功获取数据库信息 | 成功 | request_id=72b29c40 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-24 20:21:47,237 | INFO | 成功调用ziweiapi | 失败 | request_id=72b29c40 | {"scene": "analysis", "analysis_level": "unanswerable_question", "duration_sec": 0.005}
2025-12-24 20:21:47,244 | INFO | 错误：外部紫微API请求失败 | 失败 | request_id=72b29c40 | {"reason": "外部紫微API请求失败", "error_type": "aiohttp.ClientError", "error_message": "400, message='Bad Request', url='http://192.168.1.102:3000/astro_with_option'", "status_code": 503, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-24 20:21:47,260 | INFO | 错误：HTTP或网络错误 | 失败 | request_id=72b29c40 | {"reason": "HTTP或网络错误", "error_type": "HTTPException", "error_message": "503: 外部紫微API请求失败: 400, message='Bad Request', url='http://192.168.1.102:3000/astro_with_option'", "status_code": 503, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-24 20:21:47,267 | INFO | 成功输出给客户端 | 成功 | request_id=72b29c40 | {"total_time_sec": 0.047, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:31:09,152 | INFO | 成功获取请求 | 成功 | request_id=2fd96626 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:31:09,160 | INFO | 成功获取数据库信息 | 成功 | request_id=2fd96626 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:31:17,045 | INFO | 澄清：多流月问题，需要用户选择具体月份 | 澄清 | request_id=2fd96626 | {"months_to_analyze": [[2025, 12], [2026, 1], [2026, 2]], "session_id": "d48e039636af42ffa49400916993b32a", "span": 3, "core_question": "运势如何"}
2025-12-25 19:31:17,051 | INFO | 成功输出给客户端 | 成功 | request_id=2fd96626 | {"total_time_sec": 7.893, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:31:39,934 | INFO | 成功获取请求 | 成功 | request_id=f4c5d468 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:31:39,935 | INFO | 成功获取数据库信息 | 成功 | request_id=f4c5d468 | {"session_id": "test-session-001", "duration_sec": 0.001}
2025-12-25 19:31:47,466 | INFO | 澄清：多流月问题，需要用户选择具体月份 | 澄清 | request_id=f4c5d468 | {"months_to_analyze": [[2025, 12], [2026, 1], [2026, 2]], "session_id": "test-session-001", "span": 3, "core_question": "运势如何"}
2025-12-25 19:31:47,471 | INFO | 成功输出给客户端 | 成功 | request_id=f4c5d468 | {"total_time_sec": 7.536, "session_id": "test-session-001"}
2025-12-25 19:32:41,075 | INFO | 成功获取请求 | 成功 | request_id=a2e1a9bb | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:32:41,078 | INFO | 成功获取数据库信息 | 成功 | request_id=a2e1a9bb | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:32:48,151 | INFO | 澄清：多流月问题，需要用户选择具体月份 | 澄清 | request_id=a2e1a9bb | {"months_to_analyze": [[2025, 12], [2026, 1], [2026, 2]], "session_id": "d48e039636af42ffa49400916993b32a", "span": 3, "core_question": "我运势如何"}
2025-12-25 19:32:48,157 | INFO | 成功输出给客户端 | 成功 | request_id=a2e1a9bb | {"total_time_sec": 7.081, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:35:05,677 | INFO | 成功获取请求 | 成功 | request_id=4a517548 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:35:05,679 | INFO | 成功获取数据库信息 | 成功 | request_id=4a517548 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:35:12,169 | INFO | 澄清：多流年问题，需要用户选择具体年份 | 澄清 | request_id=4a517548 | {"years_to_analyze": [2025, 2026, 2027, 2028, 2029], "session_id": "d48e039636af42ffa49400916993b32a", "scope": "2025-2029", "core_question": "我最近几年财运如何"}
2025-12-25 19:35:12,175 | INFO | 成功输出给客户端 | 成功 | request_id=4a517548 | {"total_time_sec": 6.496, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:35:56,660 | INFO | 成功获取请求 | 成功 | request_id=a79ec5a2 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:35:56,661 | INFO | 成功获取数据库信息 | 成功 | request_id=a79ec5a2 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:36:03,698 | INFO | 澄清：多流年问题，需要用户选择具体年份 | 澄清 | request_id=a79ec5a2 | {"years_to_analyze": [2026, 2027, 2028], "session_id": "d48e039636af42ffa49400916993b32a", "scope": "2026-2028", "core_question": "我财运如何"}
2025-12-25 19:36:03,704 | INFO | 成功输出给客户端 | 成功 | request_id=a79ec5a2 | {"total_time_sec": 7.044, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:36:49,051 | INFO | 成功获取请求 | 成功 | request_id=c0da52a9 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:36:49,053 | INFO | 成功获取数据库信息 | 成功 | request_id=c0da52a9 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:36:54,643 | INFO | 成功调用ziweiapi | 成功 | request_id=c0da52a9 | {"scene": "single_decadal_base", "duration_sec": 0.127}
2025-12-25 19:36:54,876 | INFO | 成功调用ziweiapi | 成功 | request_id=c0da52a9 | {"scene": "analysis", "analysis_level": "decadal", "duration_sec": 0.149}
2025-12-25 19:36:56,311 | INFO | 成功构建提示词 | 成功 | request_id=c0da52a9 | {"intent_type": "single_decadal_analysis", "analysis_level": "decadal"}
2025-12-25 19:37:06,895 | INFO | 成功请求llm | 成功 | request_id=c0da52a9 | {"attempt": 1, "duration_sec": 10.584}
2025-12-25 19:37:06,895 | INFO | 成功收到llm返回信息 | 成功 | request_id=c0da52a9 | {"length": 1301}
2025-12-25 19:37:06,906 | INFO | 成功输出给客户端 | 成功 | request_id=c0da52a9 | {"total_time_sec": 17.853, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:40:32,945 | INFO | 成功获取请求 | 成功 | request_id=8fba1949 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:40:32,947 | INFO | 成功获取数据库信息 | 成功 | request_id=8fba1949 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:40:39,809 | INFO | 成功调用ziweiapi | 成功 | request_id=8fba1949 | {"scene": "single_decadal_base", "duration_sec": 0.126}
2025-12-25 19:40:40,035 | INFO | 成功调用ziweiapi | 成功 | request_id=8fba1949 | {"scene": "analysis", "analysis_level": "decadal", "duration_sec": 0.145}
2025-12-25 19:40:41,483 | INFO | 成功构建提示词 | 成功 | request_id=8fba1949 | {"intent_type": "single_decadal_analysis", "analysis_level": "decadal"}
2025-12-25 19:41:01,621 | INFO | 成功请求llm | 成功 | request_id=8fba1949 | {"attempt": 1, "duration_sec": 20.138}
2025-12-25 19:41:01,621 | INFO | 成功收到llm返回信息 | 成功 | request_id=8fba1949 | {"length": 1862}
2025-12-25 19:41:01,631 | INFO | 成功输出给客户端 | 成功 | request_id=8fba1949 | {"total_time_sec": 28.685, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:41:53,611 | INFO | 成功获取请求 | 成功 | request_id=3544f554 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:41:53,612 | INFO | 成功获取数据库信息 | 成功 | request_id=3544f554 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:41:59,456 | INFO | 成功调用ziweiapi | 成功 | request_id=3544f554 | {"scene": "analysis", "analysis_level": "birth_chart", "duration_sec": 0.196}
2025-12-25 19:41:59,478 | INFO | 成功构建提示词 | 成功 | request_id=3544f554 | {"intent_type": "birth_chart_analysis", "analysis_level": "birth_chart"}
2025-12-25 19:42:06,033 | INFO | 成功请求llm | 成功 | request_id=3544f554 | {"attempt": 1, "duration_sec": 6.555}
2025-12-25 19:42:06,034 | INFO | 成功收到llm返回信息 | 成功 | request_id=3544f554 | {"length": 1148}
2025-12-25 19:42:06,043 | INFO | 成功输出给客户端 | 成功 | request_id=3544f554 | {"total_time_sec": 12.431, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:48:05,285 | INFO | 成功获取请求 | 成功 | request_id=a06733d3 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:48:05,286 | INFO | 拒绝：政治敏感内容 | 拒绝 | request_id=a06733d3 | {"reason": "政治敏感内容检测", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:48:20,593 | INFO | 成功获取请求 | 成功 | request_id=f046ac88 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:48:20,593 | INFO | 拒绝：政治敏感内容 | 拒绝 | request_id=f046ac88 | {"reason": "政治敏感内容检测", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:48:35,940 | INFO | 成功获取请求 | 成功 | request_id=815139de | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:48:35,942 | INFO | 成功获取数据库信息 | 成功 | request_id=815139de | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:48:38,876 | INFO | 拒绝：违法内容 | 拒绝 | request_id=815139de | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:48:38,881 | INFO | 成功输出给客户端 | 成功 | request_id=815139de | {"total_time_sec": 2.94, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:48:42,442 | INFO | 成功获取请求 | 成功 | request_id=26e0eada | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:48:42,444 | INFO | 成功获取数据库信息 | 成功 | request_id=26e0eada | {"session_id": "test-session-001", "duration_sec": 0.001}
2025-12-25 19:48:48,544 | INFO | 成功调用ziweiapi | 成功 | request_id=26e0eada | {"scene": "analysis", "analysis_level": "yearly", "duration_sec": 0.186}
2025-12-25 19:48:50,003 | INFO | 成功构建提示词 | 成功 | request_id=26e0eada | {"intent_type": "horoscope_analysis", "analysis_level": "yearly"}
2025-12-25 19:48:54,163 | INFO | 成功获取请求 | 成功 | request_id=93f11359 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:48:54,164 | INFO | 拒绝：政治敏感内容 | 拒绝 | request_id=93f11359 | {"reason": "政治敏感内容检测", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:49:02,054 | INFO | 成功请求llm | 成功 | request_id=26e0eada | {"attempt": 1, "duration_sec": 12.051}
2025-12-25 19:49:02,054 | INFO | 成功收到llm返回信息 | 成功 | request_id=26e0eada | {"length": 1487}
2025-12-25 19:49:02,064 | INFO | 成功输出给客户端 | 成功 | request_id=26e0eada | {"total_time_sec": 19.62, "session_id": "test-session-001"}
2025-12-25 19:49:09,490 | INFO | 成功获取请求 | 成功 | request_id=3368851e | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:49:09,491 | INFO | 拒绝：政治敏感内容 | 拒绝 | request_id=3368851e | {"reason": "政治敏感内容检测", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:49:24,809 | INFO | 成功获取请求 | 成功 | request_id=a1092835 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:49:24,810 | INFO | 拒绝：政治敏感内容 | 拒绝 | request_id=a1092835 | {"reason": "政治敏感内容检测", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:49:40,127 | INFO | 成功获取请求 | 成功 | request_id=6d1bbde5 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:49:40,128 | INFO | 拒绝：政治敏感内容 | 拒绝 | request_id=6d1bbde5 | {"reason": "政治敏感内容检测", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:49:55,457 | INFO | 成功获取请求 | 成功 | request_id=8db17bf3 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:49:55,458 | INFO | 拒绝：政治敏感内容 | 拒绝 | request_id=8db17bf3 | {"reason": "政治敏感内容检测", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:50:10,773 | INFO | 成功获取请求 | 成功 | request_id=5c7bda86 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:50:10,775 | INFO | 拒绝：政治敏感内容 | 拒绝 | request_id=5c7bda86 | {"reason": "政治敏感内容检测", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:50:26,109 | INFO | 成功获取请求 | 成功 | request_id=7acf053f | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:50:26,110 | INFO | 成功获取数据库信息 | 成功 | request_id=7acf053f | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:50:28,929 | INFO | 拒绝：违法内容 | 拒绝 | request_id=7acf053f | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:50:28,934 | INFO | 成功输出给客户端 | 成功 | request_id=7acf053f | {"total_time_sec": 2.824, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:50:44,246 | INFO | 成功获取请求 | 成功 | request_id=d82a3bb3 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:50:44,248 | INFO | 成功获取数据库信息 | 成功 | request_id=d82a3bb3 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:50:47,000 | INFO | 拒绝：违法内容 | 拒绝 | request_id=d82a3bb3 | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:50:47,005 | INFO | 成功输出给客户端 | 成功 | request_id=d82a3bb3 | {"total_time_sec": 2.758, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:51:02,293 | INFO | 成功获取请求 | 成功 | request_id=0f9a125b | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:51:02,295 | INFO | 成功获取数据库信息 | 成功 | request_id=0f9a125b | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:51:04,970 | INFO | 拒绝：违法内容 | 拒绝 | request_id=0f9a125b | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:51:04,974 | INFO | 成功输出给客户端 | 成功 | request_id=0f9a125b | {"total_time_sec": 2.68, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:51:20,277 | INFO | 成功获取请求 | 成功 | request_id=25687434 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:51:20,279 | INFO | 成功获取数据库信息 | 成功 | request_id=25687434 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:51:22,788 | INFO | 拒绝：违法内容 | 拒绝 | request_id=25687434 | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:51:22,793 | INFO | 成功输出给客户端 | 成功 | request_id=25687434 | {"total_time_sec": 2.515, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:51:38,080 | INFO | 成功获取请求 | 成功 | request_id=47e944bc | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:51:38,082 | INFO | 成功获取数据库信息 | 成功 | request_id=47e944bc | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:51:40,673 | INFO | 拒绝：违法内容 | 拒绝 | request_id=47e944bc | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:51:40,678 | INFO | 成功输出给客户端 | 成功 | request_id=47e944bc | {"total_time_sec": 2.597, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:51:55,992 | INFO | 成功获取请求 | 成功 | request_id=a363b57c | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:51:55,994 | INFO | 成功获取数据库信息 | 成功 | request_id=a363b57c | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:51:58,297 | INFO | 拒绝：违法内容 | 拒绝 | request_id=a363b57c | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:51:58,302 | INFO | 成功输出给客户端 | 成功 | request_id=a363b57c | {"total_time_sec": 2.309, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:52:13,843 | INFO | 成功获取请求 | 成功 | request_id=1fbb0c5e | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:52:13,845 | INFO | 成功获取数据库信息 | 成功 | request_id=1fbb0c5e | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:52:16,346 | INFO | 拒绝：违法内容 | 拒绝 | request_id=1fbb0c5e | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:52:16,350 | INFO | 成功输出给客户端 | 成功 | request_id=1fbb0c5e | {"total_time_sec": 2.506, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:52:31,720 | INFO | 成功获取请求 | 成功 | request_id=7c35fed8 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:52:31,723 | INFO | 成功获取数据库信息 | 成功 | request_id=7c35fed8 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:52:34,154 | INFO | 拒绝：违法内容 | 拒绝 | request_id=7c35fed8 | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:52:34,159 | INFO | 成功输出给客户端 | 成功 | request_id=7c35fed8 | {"total_time_sec": 2.437, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:52:49,459 | INFO | 成功获取请求 | 成功 | request_id=29c219bb | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:52:49,462 | INFO | 成功获取数据库信息 | 成功 | request_id=29c219bb | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:52:52,243 | INFO | 拒绝：违法内容 | 拒绝 | request_id=29c219bb | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:52:52,248 | INFO | 成功输出给客户端 | 成功 | request_id=29c219bb | {"total_time_sec": 2.788, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:53:07,838 | INFO | 成功获取请求 | 成功 | request_id=7a19f278 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:53:07,839 | INFO | 成功获取数据库信息 | 成功 | request_id=7a19f278 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:53:10,862 | INFO | 拒绝：违法内容 | 拒绝 | request_id=7a19f278 | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:53:10,869 | INFO | 成功输出给客户端 | 成功 | request_id=7a19f278 | {"total_time_sec": 3.03, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:53:26,147 | INFO | 成功获取请求 | 成功 | request_id=18e882e3 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:53:26,149 | INFO | 成功获取数据库信息 | 成功 | request_id=18e882e3 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:53:28,876 | INFO | 拒绝：违法内容 | 拒绝 | request_id=18e882e3 | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:53:28,882 | INFO | 成功输出给客户端 | 成功 | request_id=18e882e3 | {"total_time_sec": 2.734, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:53:45,239 | INFO | 成功获取请求 | 成功 | request_id=32acab6a | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:53:45,242 | INFO | 成功获取数据库信息 | 成功 | request_id=32acab6a | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:53:48,051 | INFO | 拒绝：违法内容 | 拒绝 | request_id=32acab6a | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:53:48,055 | INFO | 成功输出给客户端 | 成功 | request_id=32acab6a | {"total_time_sec": 2.815, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:54:03,371 | INFO | 成功获取请求 | 成功 | request_id=f184374e | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:54:03,373 | INFO | 成功获取数据库信息 | 成功 | request_id=f184374e | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:54:06,350 | INFO | 拒绝：违法内容 | 拒绝 | request_id=f184374e | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:54:06,354 | INFO | 成功输出给客户端 | 成功 | request_id=f184374e | {"total_time_sec": 2.982, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:54:21,765 | INFO | 成功获取请求 | 成功 | request_id=10cec863 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:54:21,767 | INFO | 成功获取数据库信息 | 成功 | request_id=10cec863 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:54:23,978 | INFO | 拒绝：违法内容 | 拒绝 | request_id=10cec863 | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:54:23,982 | INFO | 成功输出给客户端 | 成功 | request_id=10cec863 | {"total_time_sec": 2.216, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:54:39,337 | INFO | 成功获取请求 | 成功 | request_id=23a822b4 | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
2025-12-25 19:54:39,339 | INFO | 成功获取数据库信息 | 成功 | request_id=23a822b4 | {"session_id": "d48e039636af42ffa49400916993b32a", "duration_sec": 0.001}
2025-12-25 19:54:42,046 | INFO | 拒绝：违法内容 | 拒绝 | request_id=23a822b4 | {"reason": "违法内容检测", "intent_type": "illegal_content", "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:54:42,051 | INFO | 成功输出给客户端 | 成功 | request_id=23a822b4 | {"total_time_sec": 2.713, "session_id": "d48e039636af42ffa49400916993b32a"}
2025-12-25 19:54:57,411 | INFO | 成功获取请求 | 成功 | request_id=ea4e32ed | {"endpoint": "/chat_yingshis_V10_23", "duration_sec": 0.0}
